"Authors","Author full names","Author(s) ID","Title","Year","Source title","Cited by","Link","Language of Original Document","Document Type","Source"
"Kholod S.; Pavlova V.; Spitsyna A.; Maistrenko Y.; Anufrieva O.; Lukianykhin V.","Kholod, Sergii (57224215921); Pavlova, Valentyna (57211334374); Spitsyna, Anhelina (57226273865); Maistrenko, Yuliia (57226282296); Anufrieva, Oksana (57226287227); Lukianykhin, Vadym (56039494000)","57224215921; 57211334374; 57226273865; 57226282296; 57226287227; 56039494000","Transformation of the personnel management system in the conditions of digitalization of hr processes; [Transformación del sistema de gestión de personal en las condiciones de la digitalización de los procesos de rrhh]","2021","Estudios de Economia Aplicada","8","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85111044314&doi=10.25115%2feea.v39i6.5015&partnerID=40&md5=472a1c2af42af384ed1d830b73ff6402","English","Article","Scopus"
"Sádaba C.","Sádaba, Charo (6506571150)","6506571150","Youth, digitalization and activism. Some reflections; [Juventude, digitalização e ativismo. Algumas reflexões]; [Juventud, digitalización y activismo. Algunas reflexiones]","2022","Icono14","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85148507849&doi=10.7195%2fri14.v20i2.1902&partnerID=40&md5=02bf592582014a70f1bfb7be89040957","Spanish","Article","Scopus"
"Razumovskiy D.V.; Moseykin Y.N.","Razumovskiy, Dmitriy V. (57202080639); Moseykin, Yuri N. (57202008708)","57202080639; 57202008708","DIGITALIZATION IN LATIN AMERICA AND OPPORTUNITIES FOR RUSSIAN COMPANIES*; [DIGITALIZACIÓN EN AMÉRICA LATINA Y OPORTUNIDADES PARA EMPRESAS RUSAS*]","2022","Iberoamerica (Russian Federation)","3","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85129249232&doi=10.37656%2fs20768400-2022-1-01&partnerID=40&md5=9d8dbf24b7a4b42d1ca35e8d5300fe36","English","Article","Scopus"
"Puerta López M.E.; Pindado Martínez J.; González Alvarado T.E.","Puerta López, María Elena (58968108700); Pindado Martínez, Julián (58968330600); González Alvarado, Tania Elena (57204485169)","58968108700; 58968330600; 57204485169","The Resilience of Corporate Tourism: Bleisure, Digitalization, and Sustainability; [Resiliencia del turismo corporativo: bleisure, digitalización y sustentabilidad]","2023","Mercados y Negocios","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85189306836&doi=10.32870%2fmyn.vi48.7679&partnerID=40&md5=99df7c8e8d45016a84a19cef73c91463","English","Article","Scopus"
"Gonzalez-Diaz R.; Acevedo-Duque Á.; Martin-Fiorino V.; Cachicatari-Vargas E.","Gonzalez-Diaz, Romel (57218127258); Acevedo-Duque, Ángel (57212151243); Martin-Fiorino, Víctor (55711536500); Cachicatari-Vargas, Elena (57224137923)","57218127258; 57212151243; 55711536500; 57224137923","Latin American professors' research culture in the digital age; [Cultura investigativa del docente en Latinoamérica en la era digital]","2022","Comunicar","15","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85120329804&doi=10.3916%2fC70-2022-06&partnerID=40&md5=308b2434105369c16e72ff40e90e0485","English","Article","Scopus"
"Dudin M.N.; Afanasyev V.V.; Voropaev M.V.; Zasko V.N.","Dudin, Mihail Nikolaevich (57193795320); Afanasyev, Vladimir Vasilievich (57197852125); Voropaev, Mikhail Vladimirovich (57221313203); Zasko, Vadim Nikolaevich (57201317982)","57193795320; 57197852125; 57221313203; 57201317982","Situation and problems of digitation of university management in Russia and in three Latin-American countries (Argentina, Chile, and Brazil); [Estado y problemas de digitalización de la gestión de universidades en Rusia y en tres países latinoamericanos (Argentina, Chile y Brasil)]","2020","Formacion Universitaria","2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85098787639&doi=10.4067%2fS0718-50062020000600061&partnerID=40&md5=b0d5cdd9b21941920b7ae454d7e2723e","English","Article","Scopus"
"Diaz M.M.; García J.R.","Diaz, Marta Magadán (39261881200); García, Jesús Rivas (57205462154)","39261881200; 57205462154","Digitalización y modelos de negocio en la industria editorial española","2019","Journal of Technology Management and Innovation","4","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85068091004&doi=10.4067%2fS0718-27242019000100063&partnerID=40&md5=76bfec7d2c3b25789a3547818e246fa3","Spanish","Article","Scopus"
"Sánchez F.R.","Sánchez, Fernando Rocha (57197759172)","57197759172","The (emerging) role of social dialogue in the governance of the labour dimension of digitalization; [El (emergente) papel del diálogo social en la gobernanza de la dimensión laboral de la digitalización]","2022","Cuadernos de Relaciones Laborales","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85136567765&doi=10.5209%2fcrla.77774&partnerID=40&md5=8e0ba4991cc90eb24f3589b4e436ae35","Spanish","Article","Scopus"
"Aramendia G.Z.; Ruíz E.C.; Nieto C.H.","Aramendia, Gorka Zamarreño (57219839306); Ruíz, Elena Cruz (57217183817); Nieto, Claudia Hernando (57371175600)","57219839306; 57217183817; 57371175600","Digitalization of the wine tourism experience: a literature review and practical applications; [La digitalización de la experiencia enoturística: Una revisión de la literatura y aplicaciones prácticas]","2021","Doxa Comunicacion","6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121051520&doi=10.31921%2fdoxacom.n33a930&partnerID=40&md5=a661210d9d7437be025644cc7c1b47d8","English","Article","Scopus"
"Castro R.; Schmitt V.; Aylas E.","Castro, René (57205515064); Schmitt, Valentina (55094915300); Aylas, Elizabeth (58097358000)","57205515064; 55094915300; 58097358000","Export performance of KIBS from a perspective of innovation, digitization and differentiated knowledge bases: evidence from Peru; [Desempeño exportador de las KIBS desde una perspectiva de innovación, digitalización y bases de conocimiento diferenciado: evidencias desde Perú]","2022","Ekonomiaz","1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85147773674&partnerID=40&md5=b4474f0123b00040ee5fbdef7acc5f66","English","Article","Scopus"
